"","x"
"R03.MOD13Q1.A2000257.061.250m.16.days.NDVI.filled.Smoothing",54.6196255035756
"R03.MOD13Q1.A2001257.061.250m.16.days.NDVI.filled.Smoothing",13.2992681349163
"R03.MOD13Q1.A2002257.061.250m.16.days.NDVI.filled.Smoothing",61.0210353414931
"R03.MOD13Q1.A2003257.061.250m.16.days.NDVI.filled.Smoothing",13.5630430483754
"R03.MOD13Q1.A2004257.061.250m.16.days.NDVI.filled.Smoothing",36.3565686599881
"R03.MOD13Q1.A2005257.061.250m.16.days.NDVI.filled.Smoothing",15.0411570542232
"R03.MOD13Q1.A2006257.061.250m.16.days.NDVI.filled.Smoothing",6.75909817896125
"R03.MOD13Q1.A2007257.061.250m.16.days.NDVI.filled.Smoothing",3.6893099557641
"R03.MOD13Q1.A2008257.061.250m.16.days.NDVI.filled.Smoothing",12.4748222235428
"R03.MOD13Q1.A2009257.061.250m.16.days.NDVI.filled.Smoothing",2.6288722413444
"R03.MOD13Q1.A2010257.061.250m.16.days.NDVI.filled.Smoothing",26.6611955620255
"R03.MOD13Q1.A2011257.061.250m.16.days.NDVI.filled.Smoothing",39.1702287741114
"R03.MOD13Q1.A2012257.061.250m.16.days.NDVI.filled.Smoothing",8.04437946848777
"R03.MOD13Q1.A2013257.061.250m.16.days.NDVI.filled.Smoothing",6.73883880739843
"R03.MOD13Q1.A2014257.061.250m.16.days.NDVI.filled.Smoothing",6.4880089711389
"R03.MOD13Q1.A2015257.061.250m.16.days.NDVI.filled.Smoothing",70.2701424140456
"R03.MOD13Q1.A2016257.061.250m.16.days.NDVI.filled.Smoothing",10.9999455861281
"R03.MOD13Q1.A2017257.061.250m.16.days.NDVI.filled.Smoothing",94.35266225882
"R03.MOD13Q1.A2018257.061.250m.16.days.NDVI.filled.Smoothing",17.9188950098516
"R03.MOD13Q1.A2019257.061.250m.16.days.NDVI.filled.Smoothing",9.90463647615119
"R03.MOD13Q1.A2020257.061.250m.16.days.NDVI.filled.Smoothing",12.5895146317744
"R03.MOD13Q1.A2021257.061.250m.16.days.NDVI.filled.Smoothing",6.75009040299647
"R03.MOD13Q1.A2022257.061.250m.16.days.NDVI.filled.Smoothing",44.9889345558014
"R03.MOD13Q1.A2023257.061.250m.16.days.NDVI.filled.Smoothing",12.1938991181935
